No,Model,Predictors,Index,Obs,Yearly,S1,S2
1,high_res,cld ,high_res.cld ,X48459_MAX ,0,0,0
2,high_res,cld ,high_res.cld ,X48459_MIN ,0,0,0
3,high_res,cld ,high_res.cld ,X48461_MAX ,0,0,0
4,high_res,cld ,high_res.cld ,X48461_MIN ,0,0,0
5,high_res,cld ,high_res.cld ,X48477_MAX ,0,0,0
6,high_res,cld ,high_res.cld ,X48477_MIN ,0,0,0
7,high_res,cld ,high_res.cld ,X48478_MAX ,0,0,0
8,high_res,cld ,high_res.cld ,X48478_MIN ,0,0,0
9,high_res,cld ,high_res.cld ,X48459_HMD ,0,0,0
10,high_res,cld ,high_res.cld ,X48461_HMD ,0,0,0
11,high_res,cld ,high_res.cld ,X48477_HMD ,0,0,0
12,high_res,cld ,high_res.cld ,X48478_HMD ,0,0,0
13,high_res,cld ,high_res.cld ,X48478_SLR ,0,0,0
14,high_res,cld ,high_res.cld ,X48461_SLR ,0,0,0
15,high_res,cld ,high_res.cld ,X478002 ,0,0,0
16,high_res,cld ,high_res.cld ,X478201 ,0,0,0
17,high_res,cld ,high_res.cld ,X459201 ,0,0,0
18,high_res,cld ,high_res.cld ,X459203 ,0,0,0
19,high_res,cld ,high_res.cld ,X459204 ,0,0,0
20,high_res,cld ,high_res.cld ,X48012 ,0,0,0
21,high_res,cld ,high_res.cld ,X48032 ,0,0,0
22,high_res,cld ,high_res.cld ,X48053 ,0,0,0
23,high_res,cld ,high_res.cld ,X48092 ,0,0,0
24,high_res,cld ,high_res.cld ,X48172 ,0,0,0
25,high_res,cld ,high_res.cld ,X48062 ,0,0,0
26,high_res,cld ,high_res.cld ,X48182 ,0,0,0
27,high_res,cld ,high_res.cld ,X48121 ,0,0,0
28,high_res,cld ,high_res.cld ,X9042 ,0,0,0
29,high_res,cld ,high_res.cld ,X9052 ,0,0,0
30,high_res,cld ,high_res.cld ,X9062 ,0,0,0
31,high_res,cld ,high_res.cld ,X9102 ,0,0,0
32,high_res,cld ,high_res.cld ,X9160 ,0,0,0
33,high_res,cld ,high_res.cld ,X48160 ,0,0,0
34,high_res,cld ,high_res.cld ,X48201 ,0,0,0
35,high_res,cld ,high_res.cld ,X48131 ,0,0,0
36,high_res,cld ,high_res.cld ,X48100 ,0,0,0
37,high_res,cld ,high_res.cld ,X48150 ,0,0,0
38,high_res,cld ,high_res.cld ,X48193 ,0,0,0
39,high_res,cld ,high_res.cld ,X48241 ,0,0,0
40,high_res,cld ,high_res.cld ,X478002_Wet ,0,0,0
41,high_res,cld ,high_res.cld ,X478201_Wet ,0,0,0
42,high_res,cld ,high_res.cld ,X459201_Wet ,0,0,0
43,high_res,cld ,high_res.cld ,X459203_Wet ,0,0,0
