year,month,X48459_MAX,X48459_MIN,X48461_MAX,X48461_MIN,X48477_MAX,X48477_MIN,X48478_MAX,X48478_MIN,X48459_HMD,X48461_HMD,X48477_HMD,X48478_HMD,X48478_SLR,X48461_SLR,X478002,X478201,X459201,X459203,X459204,X48012,X48032,X48053,X48092,X48172,X48062,X48182,X48121,X9042,X9052,X9062,X9102,X9160,X48160,X48201,X48131,X48100,X48150,X48193,X48241,X478002_Wet,X478201_Wet,X459201_Wet,X459203_Wet,X459204_Wet,X48012_Wet,X48032_Wet,X48053_Wet,X48092_Wet,X48172_Wet,X48062_Wet,X48182_Wet,X48121_Wet,X9042_Wet,X9052_Wet,X9062_Wet,X9102_Wet,X9160_Wet,X48160_Wet,X48201_Wet,X48131_Wet,X48100_Wet,X48150_Wet,X48193_Wet,X48241_Wet,X478002_WetRate,X478201_WetRate,X459201_WetRate,X459203_WetRate,X459204_WetRate,X48012_WetRate,X48032_WetRate,X48053_WetRate,X48092_WetRate,X48172_WetRate,X48062_WetRate,X48182_WetRate,X48121_WetRate,X9042_WetRate,X9052_WetRate,X9062_WetRate,X9102_WetRate,X9160_WetRate,X48160_WetRate,X48201_WetRate,X48131_WetRate,X48100_WetRate,X48150_WetRate,X48193_WetRate,X48241_WetRate
1971,1,30.38709677,16.88709677,28.72903226,20.99677419,31.23870968,20.71935484,30.29032258,19.74516129,68.32258065,73.64129032,71.93548387,74.41774194,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,31.83571429,19.72142857,30.1,23.075,32.55,23.46071429,31.66071429,22.65714286,68.39285714,75.40285714,76.53571429,76.14392857,-,-,0.842857143,0.857142857,0.532142857,0.967857143,0.95,0.771428571,0.753571429,0.860714286,0.592857143,0.517857143,0.785714286,0.871428571,0.725,0.728571429,2.225,0,1.339285714,0.685714286,0.828571429,0.692857143,0.725,0.796428571,1.028571429,0.864285714,0.660714286,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,0,4,6,6,6,6,6,6,6,6,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.107142857,0.142857143,0,0.142857143,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714
1971,3,33.06774194,21.59354839,30.9483871,24.28709677,32.8,24.89032258,32.27096774,24.3483871,67.58064516,75.52967742,77.90322581,76.34935484,-,-,2.370967742,2.625806452,2.312903226,2.541935484,2.65483871,2.325806452,2.461290323,2.532258065,1.832258065,1.687096774,2.306451613,2.716129032,1.925806452,0.916129032,1.761290323,2.829032258,5.3,1.967741935,2.322580645,2.216129032,1.835483871,2.093548387,2.35483871,2.638709677,2.632258065,13,13,13,13,13,13,13,13,13,13,13,13,13,3,5,5,4,13,13,13,13,13,13,13,13,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.096774194,0.161290323,0.161290323,0.129032258,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839,0.419354839
1971,4,33.64333333,22.89,31.66666667,25.44333333,33.81333333,26.60666667,33.08333333,25.99666667,70.9,77.07,77.8,77.53366667,-,-,2.14,2.173333333,2.923333333,2.173333333,2.176666667,1.956666667,2.706666667,2.11,1.916666667,1.766666667,2.263333333,1.993333333,2.183333333,4.216666667,2.796666667,3.373333333,1.67,2.943333333,2.506666667,2.236666667,2.38,2.083333333,2.63,2.163333333,2.293333333,10,10,10,10,10,10,10,10,10,10,10,10,10,7,3,7,2,10,10,10,10,10,10,10,10,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.233333333,0.1,0.233333333,0.066666667,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
1971,5,33.04193548,22.92580645,30.78709677,24.89032258,31.48387097,25.72258065,31.5516129,25.43225806,74.80645161,80.79548387,82.77419355,80.81129032,-,-,4.890322581,5.087096774,5.95483871,5.048387097,5.135483871,4.541935484,5.803225806,4.941935484,4.14516129,3.829032258,5.035483871,4.883870968,4.65483871,7.519354839,5.648387097,6.709677419,6.090322581,5.887096774,5.4,4.9,4.909677419,4.6,5.638709677,5.074193548,5.225806452,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,15,12,21,21,21,21,21,21,21,21,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.35483871,0.35483871,0.483870968,0.387096774,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355
1971,6,31.90333333,23.32333333,30.30666667,25.19666667,31.49333333,26.42,31.23,26.03333333,71.13333333,76.86766667,76.96666667,77.313,-,-,1.236666667,1.236666667,2.29,1.093333333,1.156666667,1.08,1.903333333,1.176666667,1.266666667,1.183333333,1.416666667,1.046666667,1.41,4.1,0.273333333,3.04,0.223333333,2.286666667,1.593333333,1.48,1.63,1.196666667,1.506666667,1.216666667,1.533333333,11,11,11,11,11,11,11,11,11,11,11,11,11,6,2,9,2,11,11,11,11,11,11,11,11,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.2,0.066666667,0.3,0.066666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667,0.366666667
1971,7,31.53548387,23.80322581,30.27096774,24.99677419,31.96451613,25.57741935,31.58064516,25.57741935,72.32258065,77.69967742,77.67741935,78.01387097,-,-,1.34516129,1.383870968,1.651612903,1.367741935,1.4,1.229032258,1.619354839,1.341935484,1.151612903,1.058064516,1.387096774,1.306451613,1.306451613,2.438709677,1.577419355,1.780645161,1.519354839,1.703225806,1.5,1.35483871,1.393548387,1.267741935,1.570967742,1.380645161,1.412903226,11,11,11,11,11,11,11,11,11,11,11,11,11,7,2,5,6,11,11,11,11,11,11,11,11,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.225806452,0.064516129,0.161290323,0.193548387,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871,0.35483871
1971,8,31.8,24.3,30.40645161,24.83548387,31.98709677,24.72903226,31.82580645,25.1516129,75.29032258,80.00774194,80.06451613,79.98774194,-,-,5.006451613,5.170967742,6.9,4.970967742,5.116129032,4.564516129,6.403225806,4.970967742,4.487096774,4.132258065,5.293548387,4.806451613,4.996774194,9.993548387,4.45483871,8.270967742,4.94516129,6.858064516,5.761290323,5.258064516,5.419354839,4.732258065,5.835483871,5.135483871,5.570967742,18,18,18,18,18,18,18,18,18,18,18,18,18,9,7,15,9,18,18,18,18,18,18,18,18,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.290322581,0.225806452,0.483870968,0.290322581,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161
1971,9,32.06666667,24.49333333,30.54,24.99333333,31.93333333,24.97,31.86333333,25.41,77.2,81.70566667,82.16666667,81.46933333,-,-,5.946666667,6.186666667,7.403333333,6.056666667,6.216666667,5.47,7.186666667,5.983333333,5.1,4.68,6.143333333,5.903333333,5.706666667,10.09666667,6.12,8.366666667,7.28,7.393333333,6.593333333,6.013333333,6.05,5.566666667,6.81,6.16,6.406666667,22,22,22,22,22,22,22,22,22,22,22,22,22,14,10,12,15,22,22,22,22,22,22,22,22,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.466666667,0.333333333,0.4,0.5,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
1971,10,31.29354839,23.20322581,29.9483871,23.88387097,31.73548387,23.27741935,31.52903226,23.73870968,75.4516129,81.45258065,83.70967742,81.39548387,-,-,5.216129032,5.55483871,5.306451613,5.506451613,5.706451613,4.883870968,5.719354839,5.390322581,4.151612903,3.761290323,5.193548387,5.564516129,4.625806452,6.274193548,5.761290323,5.229032258,9.051612903,5.348387097,5.374193548,4.95483871,4.687096774,4.741935484,5.674193548,5.561290323,5.416129032,21,21,21,21,21,21,21,21,21,21,21,21,21,10,12,11,18,21,21,21,21,21,21,21,21,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.322580645,0.387096774,0.35483871,0.580645161,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355,0.677419355
