No,Model,Predictors,Index,Obs,Yearly,S1,S2
1,ECHO,hfls ,ECHO.hfls ,X48459_MAX ,0.1978618,0.4289722,0.2927182
2,ECHO,hfls ,ECHO.hfls ,X48459_MIN ,0.6324904,0.4916214,0.2665429
3,ECHO,hfls ,ECHO.hfls ,X48461_MAX ,0.3929038,0.4884202,0.3306035
4,ECHO,hfls ,ECHO.hfls ,X48461_MIN ,0.6464484,0.5224314,0.3285116
5,ECHO,hfls ,ECHO.hfls ,X48477_MAX ,0.3960024,0.4589127,0.26423
6,ECHO,hfls ,ECHO.hfls ,X48477_MIN ,0.6600284,0.5184292,0.3533065
7,ECHO,hfls ,ECHO.hfls ,X48478_MAX ,0.2502574,0.4382182,0.2358586
8,ECHO,hfls ,ECHO.hfls ,X48478_MIN ,0.6505473,0.5103795,0.3364536
9,ECHO,hfls ,ECHO.hfls ,X48459_HMD ,0.5432922,0.2483874,-0.1652039
10,ECHO,hfls ,ECHO.hfls ,X48461_HMD ,0.3837768,0.2026086,-0.1718386
11,ECHO,hfls ,ECHO.hfls ,X48477_HMD ,0.3307381,0.1681295,-0.2013603
12,ECHO,hfls ,ECHO.hfls ,X48478_HMD ,0.4789908,0.2014551,-0.1846187
13,ECHO,hfls ,ECHO.hfls ,X48478_SLR ,-0.2279293,0.2665094,0.2271473
14,ECHO,hfls ,ECHO.hfls ,X48461_SLR ,-0.2260996,0.2612662,0.2691106
15,ECHO,hfls ,ECHO.hfls ,X478002 ,0.5479143,0.3563612,0.03193271
16,ECHO,hfls ,ECHO.hfls ,X478201 ,0.5235381,0.3092115,0.02973309
17,ECHO,hfls ,ECHO.hfls ,X459201 ,0.5507864,0.4564893,-0.03486588
18,ECHO,hfls ,ECHO.hfls ,X459203 ,0.4842656,0.3271285,0.003843511
19,ECHO,hfls ,ECHO.hfls ,X459204 ,0.4355095,0.2622079,-0.08311012
20,ECHO,hfls ,ECHO.hfls ,X48012 ,0.4913419,0.2431606,0.02290659
21,ECHO,hfls ,ECHO.hfls ,X48032 ,0.5631757,0.3789441,-0.003818996
22,ECHO,hfls ,ECHO.hfls ,X48053 ,0.4863867,0.2586765,-0.02136245
23,ECHO,hfls ,ECHO.hfls ,X48092 ,0.5235422,0.3990485,0.04664907
24,ECHO,hfls ,ECHO.hfls ,X48172 ,0.5699149,0.4571321,-0.01275602
25,ECHO,hfls ,ECHO.hfls ,X48062 ,0.5277769,0.3554371,-0.00425061
26,ECHO,hfls ,ECHO.hfls ,X48182 ,0.481815,0.3090199,-0.0239246
27,ECHO,hfls ,ECHO.hfls ,X48121 ,0.5551543,0.3481292,0.03617799
28,ECHO,hfls ,ECHO.hfls ,X9042 ,0.4663759,0.3358747,-0.01340595
29,ECHO,hfls ,ECHO.hfls ,X9052 ,0.4378134,0.3968458,0.007744251
30,ECHO,hfls ,ECHO.hfls ,X9062 ,0.5442387,0.4707984,-0.06043486
31,ECHO,hfls ,ECHO.hfls ,X9102 ,0.4039977,0.2762807,-0.05387881
32,ECHO,hfls ,ECHO.hfls ,X9160 ,0.5099548,0.3448386,0.004488957
33,ECHO,hfls ,ECHO.hfls ,X48160 ,0.5651124,0.3281075,0.007190004
34,ECHO,hfls ,ECHO.hfls ,X48201 ,0.5886168,0.4352336,0.04009118
35,ECHO,hfls ,ECHO.hfls ,X48131 ,0.5563108,0.3986929,-0.01774472
36,ECHO,hfls ,ECHO.hfls ,X48100 ,0.5175797,0.331519,-0.0251195
37,ECHO,hfls ,ECHO.hfls ,X48150 ,0.5422547,0.3647425,0.05174596
38,ECHO,hfls ,ECHO.hfls ,X48193 ,0.524052,0.3122917,0.02921666
39,ECHO,hfls ,ECHO.hfls ,X48241 ,0.5649466,0.403979,0.03514519
