month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
1,2000,100679.4297,388.8251953,370.3527832,249.53125,250.5625,253.5078125,354.4333496,96.05834961,68.3125,59.97241211,59.9609375,61.453125,-17.26782227,-5.279052734,4.87890625,299.0661621,-0.174398959,5.919557571,7.732139111,-2.93229866,-2.477563858,23.86,24.65,26.96,23.88,-0.011070178,-0.104189716,0.132737328,1.1,0.929,0.24,-1.06,-0.82,-2
2,2000,100448.0313,374.5557251,398.4949646,281.6484375,280.390625,281.453125,388.4455566,83.88697815,80.6328125,65.14479065,65.3203125,64.4140625,37.63916016,42.14746094,24.20507813,300.3632202,-0.100982845,9.079218864,6.694469452,-1.755834579,0.174655914,25.71,25.19,26.66,25.31,-0.155713459,-0.482513575,0.306113925,2.6,-4.992,0.08,-0.18,1.12,-0.83
3,2000,100370.6719,409.6001282,412.8713684,309.5045776,305.9456177,307.4287415,422.7091675,87.90682983,131.871582,67.96514893,67.09631348,68.01773071,42.42172241,53.18670654,47.43942261,305.8798218,0.025439143,8.01948452,9.381849289,0.634391785,1.200206757,26.19,26.08,26.76,26.61,-0.2157018,-0.7901414,0.667852025,1.6,3.324,0.13,-0.28,1.28,0.29
4,2000,100157.8594,427.1396179,434.2266541,321.3203125,319.65625,319.84375,440.0390625,80.8828125,86.828125,69.296875,68.5703125,68.609375,67.98852539,73.71728516,79.42724609,307.4846802,0.05202049,6.625512123,6.811686993,1.413702965,1.564986229,25.84,27.01,27.37,27.46,-0.00457092,-0.36993812,0.91359188,1.9,-0.614,-1.53,0.26,-0.35,0.35
5,2000,100229.9063,428.8364868,433.0332336,318.8671875,317.8125,317.765625,440.8203125,96.8515625,131.9921875,68.1171875,68.7578125,68.484375,83.95507813,81.76464844,78.92089844,304.572937,0.06825918,7.782716274,7.045100212,1.877717018,1.915342331,24.1,27.12,27.81,26.8,-0.016859608,-0.199670425,0.0345194,0.3,-0.812,-2.03,-0.51,-0.28,-0.05
6,2000,99978.26563,424.2908325,427.5840454,314.4765625,313.8046875,312.9765625,437.3615723,143.9709473,155.9609375,67.72875977,67.3359375,67.34375,73.29663086,69.76879883,62.68286133,302.0859985,0.09333992,6.270474911,6.647751808,2.315104485,1.892392159,22.25,27.03,28.11,25.84,-0.230537628,-0.083445078,0.43802465,-1,-1.944,0.2,-0.02,-1.22,-0.44
7,2000,100148.7031,418.2015686,420.1009521,314.6484375,312.9609375,312.984375,437.0234375,184.484375,210.9921875,66.46875,67.0078125,67.26831055,57.04638672,41.10864258,48.69824219,299.6676636,0.113206506,7.805974007,8.330672264,2.482325554,1.637577057,20.59,26.72,28.2,25.13,0.196883548,0.103704246,0.368208978,-0.7,1.526,0.37,-1.08,-2.28,-0.66
8,2000,100173.8594,419.0744629,418.208252,314.078125,316.8203125,313.8515625,436.619873,182.119873,121.25,66.39331055,66.9609375,66.703125,34.59008789,87.07226563,34.08911133,299.1894836,0.015159726,4.489701271,6.42807436,0.750597,1.217669487,20.1,26.45,28.32,24.47,0.390124775,0.120319021,0.137996174,0.6,0.997,-1.07,-0.04,-0.48,-1.19
9,2000,100367.3438,415.0459595,414.9665833,304.5281677,302.905365,303.3670654,425.223999,159.9185333,179.6127625,66.06643677,66.4447937,66.68569946,45.25566101,31.16511536,47.83180237,299.2194824,-0.013492465,8.218026161,8.343596458,-0.358094215,-0.011665344,19.94,26.21,28.44,24.35,0.182182596,0.066447958,0.174460088,1.7,-0.59,0.66,0.04,-1.4,-1.24
10,2000,100389.625,415.7602539,418.4127197,283.640625,281.40625,281.765625,396.8596191,93.10180664,98.90234375,63.23461914,64.22265625,63.34765625,37.9152832,36.97338867,37.44799805,301.2104187,-0.028965831,10.07989979,7.577639103,-0.68723011,-0.864161491,20.37,25.96,28.17,24.41,0.028256308,0.15906935,0.154108107,1.6,1.53,0.81,-0.9,0.25,-1.3
11,2000,100529.6875,417.3110962,401.5303345,258.84375,255.0234375,255.28125,362.5625,67.0703125,98.671875,59.3359375,59.3046875,60.11083984,1.362792969,11.0847168,14.33520508,303.5792236,-0.014138818,6.668785572,8.294242859,-0.799186707,-2.752419472,20.6,25.78,28.09,24.17,0.056728778,0.23539125,0.176971003,3.3,4.215,-0.3,0.32,0.74,-0.53
12,2000,100733.9531,411.6749268,376.1600342,241.9609375,242.3203125,242.734375,343.5,79.8515625,65.8125,57.734375,58.90625,59.3125,-28.95581055,-9.847412109,-5.678466797,302.9693909,-0.091371238,7.919130325,8.750709534,-2.097817421,-3.654762268,22.22,25.59,27.6,24.43,0.099373722,0.142464503,0.3074635,1.1,1.911,-0.49,-99.9,1.23,0.52
1,2001,100430.3828,398.5448608,389.1280823,250.53125,250.953125,252.9453125,354.4396973,71.65844727,66.54199219,60.40844727,61.57324219,60.546875,2.479248047,1.150634766,-2.349853516,302.6699219,-0.026728094,9.267400742,6.067878723,-0.845399857,-0.332897186,23.88,25.74,27.5,24.99,-0.086676855,-0.28480485,0.089310965,1.8,1.31,0.76,-1.04,1.51,0.6
2,2001,100266.6406,404.5252075,400.2445679,278.890625,279.5546875,280.3125,388.4388733,94.72012329,79.3984375,64.07168579,64.5234375,64.58830261,28.125,31.56860352,53.10424805,303.6005249,0.022369087,7.742667675,7.745577335,0.548832893,-0.46509552,25.91,26.11,27.27,26.06,0.042971125,-0.385682848,0.403746925,2.4,2.013,2.04,0.55,-0.16,0.29
3,2001,100292.2344,423.8543701,413.7288818,305.917572,307.2681885,307.9250793,422.7056274,101.9694519,97.39997864,67.104599,66.81846619,68.20368958,74.97227478,56.44268799,49.30732727,305.8417358,0.008924842,6.289003849,9.626087189,0.697857857,0.760258675,27.44,26.84,27.62,27.23,0.337853944,-0.117998012,0.53440538,0.8,0.853,-1.04,-1.01,0.7,0.45
4,2001,100236.1406,425.5342407,425.1433105,317.21875,318.8984375,317.8046875,440.046875,109.3046875,94.02416992,67.8203125,69.70385742,68.68066406,95.45532227,67.82104492,80.13671875,303.1593628,0.06770575,10.06672192,8.253401756,2.255714417,1.661379814,26.69,27.52,28.19,27.52,-0.003869818,-0.140569278,0.423285925,-0.1,2.209,0.99,0.24,-0.47,-0.31
5,2001,100207.5313,421.3932495,421.1890259,315.6796875,317.0859375,317.5,440.8144531,124.7128906,110.046875,68.12695313,68.671875,67.34375,86.2043457,77.0144043,76.27636719,300.7938843,0.029994309,7.68688488,4.12087822,1.15634346,1.077191353,23.77,27.6,28.64,26.89,0.267224825,0.35691084,0.0848307,-1.4,-0.607,-1.7,-1.4,-0.11,-0.3
6,2001,100009.8281,419.3060913,418.4060669,313.2421875,314.71875,312.421875,437.375,161.359375,114.2687988,66.9765625,67.77661133,67.390625,61.79663086,92.15454102,41.32177734,299.887085,0.099193633,6.529371738,7.753699303,2.426692009,2.267413139,21.74,27.68,28.83,26.35,0.151297472,0.227442612,0.14062545,-0.1,1.43,0.08,0.54,-0.94,-0.47
7,2001,100085.8594,414.4528503,420.1980896,314.1171875,314.171875,312.28125,437.0249023,220.1030273,220.1191406,66.45458984,66.40820313,67.734375,43.30932617,41.30224609,46.64599609,298.5181274,0.063694894,5.2763381,9.726183891,1.734705925,0.973947525,20.88,27.32,29.06,25.43,-0.045476983,0.4696555,-0.03241859,-0.7,0.528,-0.96,-1.12,0.06,-1.31
8,2001,100143.0313,415.8272095,414.27948,312.5703125,312.53125,315.140625,436.625,196.0625,201.6328125,67.46875,66.9453125,66.4453125,34.42944336,16.14038086,58.92651367,298.7050781,0.00115025,7.657568932,5.076070309,0.368787766,0.871816635,19.9,26.87,28.96,24.72,0.05997716,0.618425875,-0.202585335,-1.6,-0.027,-0.53,-2.01,-0.11,-0.77
9,2001,100340.5234,413.0153809,415.3754883,304.2264404,305.4917603,303.9591064,425.2178345,140.754303,122.7551117,66.37460327,65.72177124,67.16758728,62.53067017,59.1494751,57.86566162,298.9189148,-0.012136519,4.43899107,9.21484375,-0.285898209,0.039252281,19.39,26.55,29.14,24.27,0.072825946,0.56757312,0.062433574,0.3,-0.811,2.26,-1.05,0.1,-1.37
10,2001,100425.6719,414.6024475,420.7919312,279.6484375,281.265625,282.7265625,396.8607178,98.29432678,113.2929688,65.07557678,63.18359375,63.41015625,34.46044922,26.87597656,45.36254883,300.3027039,-0.101205885,7.207197666,6.823218822,-2.036510468,-1.365664482,19.52,26.59,29.01,24.45,-0.016903788,0.5003002,0.150206605,-0.6,0.734,-0.89,-0.13,-0.22,-1.37
11,2001,100496.8047,412.4284668,415.7176514,255.9140625,253.8671875,253.3984375,362.5625,88.2109375,100.6953125,59.3046875,60.34375,60.6796875,-0.455078125,10.89282227,10.25292969,300.5246582,-0.075320601,9.345830917,11.07173538,-1.783871651,-2.836006165,20.49,26.45,28.96,24.35,0.21889016,0.121969801,0.121809735,1.2,-2.977,0.82,-0.22,1.09,-1.26
12,2001,100557.5313,398.288269,411.4549561,240.234375,241.625,240.515625,343.5004883,85.27392578,64.75219727,58.60986328,58.76782227,57.40771484,-13.09960938,-11.86816406,-2.774414063,300.4464722,-0.242781341,7.92838335,5.767905235,-3.721917152,-1.456793785,21.96,26.17,28.6,24.6,0.336521594,0.154458046,0.193940522,-1.9,-0.805,-0.18,-99.9,0.56,-0.93
1,2002,100477,400.366394,407.1730957,250.53125,251.5078125,250.0625,354.4453125,69.7578125,79.88500977,59.7734375,61.10375977,59.921875,-8.141113281,6.506347656,-3.207763672,302.0543823,-0.095350564,7.848376751,6.181598663,-2.030536652,-0.820721626,23.64,26.5,28.81,25.09,0.29285525,0.420445825,0.214146068,0.7,2.848,0.38,-0.27,-0.04,0.27
2,2002,100414.7188,389.6974487,409.6968994,279.515625,279.296875,278.5703125,388.4453125,73.26953125,75.47265625,65.26171875,64.57421875,63.78125,30.45141602,33.49707031,25.04223633,302.720459,-0.152136803,7.879909515,6.708233833,-2.138181686,-0.054044724,26.06,26.95,28.76,26.21,-0.11508503,-0.15144779,-0.229635038,1.5,2.942,1.34,-0.49,0.14,-0.64
3,2002,100065.9063,412.6556396,429.4014893,306.6407166,306.1196899,307.1040039,422.7154236,84.86959839,89.8860321,68.27557373,68.2006073,67.4019165,53.92028809,56.09689331,56.69985962,305.350708,0.008759797,10.44569969,8.04655838,0.598903656,1.024677277,27.53,27.32,28.68,27.22,0.190751782,0.407574076,0.004680582,-1.4,1.664,0.92,2,-1.3,-0.43
4,2002,100323.9219,419.0159302,418.9547119,319.1953125,317.484375,316.8828125,440.0419922,108.1982422,120.9086914,67.84667969,68.79150391,68.5625,96.24658203,82.7277832,68.8605957,302.3251343,0.049683928,8.41721344,8.25349617,1.69314003,-0.401364326,26.53,27.94,29.09,27.56,0.037793375,0.409831525,-0.059889453,-0.6,0.226,0.06,0.59,-2.22,-0.32
5,2002,100197.875,419.3372498,423.6038208,317.5546875,317.015625,314.9375,440.8203125,110.609375,151.375,68.1875,67.421875,69.234375,88.25634766,81.29272461,84.49243164,301.677002,0.05853498,4.562070847,10.31978226,1.714639664,0.906475067,24.8,28.15,29.45,27.24,-0.315390375,0.158064233,-0.10874014,-2,-0.127,-1.31,1.86,-0.73,-0.63
6,2002,100012,420.2586365,418.3848267,312.21875,311.953125,313.3046875,437.359375,191.359375,139.84375,67.3359375,68.59375,67.01074219,49.55444336,89.61962891,52.65356445,299.5410767,0.068249106,10.20787811,5.704034328,1.907401085,1.947423935,22.67,28.43,29.63,27.06,0.022286456,0.31354422,0.3249477,-1.1,0.495,-0.8,0.01,-0.05,-0.35
7,2002,100049.8906,413.0723267,416.8956604,315.2421875,313.65625,313.8046875,437.0334473,178.8771973,166.0085449,66.51782227,67.18041992,66.47827148,63.34887695,60.05249023,42.08349609,298.7769775,0.069164753,7.415977478,6.009897709,1.747847557,1.589069366,21.01,27.98,29.49,26.03,-0.061257444,0.31556265,0.163581338,-1.1,-1.938,-1.66,-0.6,0.88,-0.31
8,2002,100063.8125,411.5201416,413.6115112,314.96875,317.265625,314.5078125,436.625,175.90625,146.4455566,66.8203125,66.73461914,66.9765625,50.18798828,66.99975586,58.18408203,298.8095703,0.016072094,4.057014465,6.367678642,0.621912956,0.712054253,19.94,27.79,29.4,25.47,-0.01322429,0.36372012,0.19910472,-2.6,-0.31,-1.79,-0.81,0.64,0.6
9,2002,100083.0703,411.0198059,411.6352539,303.0766602,300.411438,303.2364197,425.2155457,128.2639923,163.9901276,67.74055481,68.24403381,66.87088013,68.40565491,34.41101074,41.19023132,299.3105469,-0.004976571,14.37501144,8.831693649,-0.047569275,-0.355904579,19.89,27.83,29.44,25.54,0.46141475,-0.011898413,0.433880825,-1.1,-2.719,0.9,-0.99,0.77,0.43
10,2002,100244.2891,411.5495911,410.1980591,280.5234375,278.7109375,281.1484375,396.8598022,120.8324432,123.421875,64.14494324,65.5234375,63.734375,30.25756836,23.39111328,43.21557617,299.1843262,-0.018951416,15.15033627,8.82069397,-0.838355064,-0.773542404,21.16,28.05,29.56,25.85,0.29684665,-0.285767093,0.07303465,-1.2,-0.016,-2.42,1.94,-0.65,0.42
11,2002,100349.5156,412.3284912,399.6921997,254.2109375,257.0546875,252.7734375,362.5625,104.953125,81.5859375,59.34375,59.3828125,60.578125,9.596923828,18.85083008,-2.439941406,299.8209229,-0.095912993,5.827647686,10.96140385,-2.027360916,-3.04214859,22.25,28.27,29.83,26.37,0.229894969,-0.050563746,-0.42900292,-1,-1.922,-1.71,2.21,1.54,1.51
12,2002,100527.3672,399.8746033,389.5680237,242.6484375,241.0234375,239.9921875,343.5,62.765625,80.234375,58.3125,58.1875,58.6875,-16.28344727,-9.193603516,-10.12695313,301.6325989,-0.101365805,7.162431717,8.718528748,-2.058501244,-3.39383316,23.44,28.09,29.49,26.48,0.32057765,0.5788153,-0.370258443,-2.4,-5.861,0.67,-99.9,1.59,2.1
1,2003,100569.6719,392.7194824,374.5764771,249.7890625,251.34375,249.9296875,354.4375,78.9609375,68.859375,60.96875,61.5703125,61.78369141,13.27246094,-3.222167969,14.04736328,301.5241394,-0.111842573,9.256515503,10.31607723,-2.110548973,-3.237841606,24.38,27.76,29.25,26.38,0.201526196,0.365254875,-0.1790862,-0.6,-2.517,0.3,1.85,1.29,2.09
2,2003,100322.4844,412.0308838,393.5038452,277.5625,279.4765625,277.3984375,388.439209,79.26733398,80.8440094,64.74389648,64.7111969,64.203125,30.83056641,21.86547852,27.72827148,304.8642883,0.007230282,8.594047546,8.204026222,0.12329483,-1.341683388,25.81,27.49,29.03,26.7,0.337869068,0.388374475,0.45186809,-2,-0.073,0.65,1.17,0.73,1.75
3,2003,100329.4219,414.8396606,402.3175049,307.1752014,307.4789734,305.61026,422.7017212,90.6894989,85.9307251,67.79574585,66.96456909,67.13471985,61.65286255,70.16421509,53.89471436,305.6966858,0.031756997,7.154149055,7.975406647,0.691860199,-0.508712769,25.97,27.81,29.03,27.28,0.40215074,0.0685813,0.54336864,-1.6,-0.57,-1,0.64,-0.07,1.51
4,2003,100285.7969,427.8677063,412.5751343,317.3515625,316.3984375,319.34375,440.0410156,105.5019531,128.1953125,68.49414063,68.421875,69.06518555,82.453125,72.12207031,85.72436523,304.1827393,0.056112111,8.371993065,8.053264618,1.589969635,1.06079483,24.44,27.81,28.96,27.15,0.469112575,0.37310865,0.565202662,-0.7,-2.628,1.5,0.49,0.14,1.18
5,2003,100165.625,423.0770874,421.5213623,315.953125,317.40625,319.0859375,440.8203125,160.234375,120.265625,67.5390625,68.375,69.35400391,49.72167969,75.38696289,81.0402832,300.4575806,0.047885001,6.708913803,8.446144104,1.497584343,1.756284714,22.49,27.37,28.92,26.14,0.37513786,0.166836453,0.47542908,-1,-0.762,-0.43,-0.45,-2.2,0.89
6,2003,100109.6875,421.2419434,417.1088257,313.8046875,313.9453125,314.2109375,437.3618164,144.9399414,119.6171875,67.78369141,68.4140625,67.9765625,68.09326172,91.52246094,56.7565918,301.0054016,0.032334685,8.562057495,7.55946207,1.195814133,1.713165283,21.58,27.48,29.09,25.83,0.658673775,-0.158981468,0.033770175,-1.9,-2.216,0.35,0.27,-0.6,0.68
7,2003,100131.6484,417.9914246,417.9455566,312.8359375,315.1484375,314.296875,437.03125,215.2890625,155.4140625,66.8515625,66.7265625,66.6640625,48.94335938,58.15991211,53.60180664,298.8245239,0.117675722,4.928053379,5.677319527,2.561125755,1.400787354,20.75,27.43,29.11,25.75,0.35855055,-0.160512608,-0.064695258,0.4,0.286,-2.51,-0.14,1.23,0.96
8,2003,100038.4688,416.343689,413.4057007,314.328125,314.8203125,314.65625,436.6206055,183.581543,189.2621307,66.64404297,66.52384949,66.8125,50.21191406,46.84985352,63.2890625,299.125,0.057474554,5.276080608,6.149352074,1.660045624,0.821782112,20.14,26.85,29.05,25.04,0.149039206,-0.380519378,-0.516347948,-0.5,0.091,-1.11,-2.34,-0.28,0.88
9,2003,100207.3281,415.4064941,410.1113281,303.4385071,300.6648254,304.0097046,425.2131958,117.4506836,192.2899933,67.04260254,67.65821838,66.19061279,54.76225281,26.81706238,39.15071106,299.5620117,-0.011051655,12.62589359,6.367732525,-0.448203087,-0.068590164,20,26.96,29.02,24.97,0.352192075,-0.08386305,-0.67703525,-0.2,-1.554,-1.8,-1.33,0.76,0.01
10,2003,100414.2656,416.7936707,415.0908508,281.34375,278.9296875,281.984375,396.859375,84.9609375,148.9900818,64.9296875,64.90414429,63.63371277,44.41259766,32.42163086,47.20703125,302.1628113,-0.047985733,13.3366785,7.990103245,-0.983431816,-1.338825226,20.99,27.19,29.22,25.33,0.047077303,0.191012375,-0.6636812,-0.5,0.414,-0.73,0.89,0.97,0.83
11,2003,100392.3828,419.8448181,411.0599976,252.2890625,255.3359375,255.546875,362.5556641,95.75097656,76.2265625,60.49316406,60.140625,59.07836914,12.53369141,4.667236328,9.425048828,301.5635986,-0.102293015,8.486269951,5.432173252,-1.932982445,-1.167262077,21.92,27.05,29.31,25.4,0.019430384,0.073914444,-0.19336012,-0.7,-0.763,0.71,0.01,-1.72,0.52
12,2003,100461.7656,398.403717,414.2154541,241.6015625,242.53125,241.109375,343.5007324,67.98510742,62.984375,59.02416992,58.5546875,57.453125,-14.81884766,-13.71411133,-1.314453125,301.6754761,-0.103848219,6.903147221,5.541659355,-2.038574219,-1.369691849,22.99,26.89,29.02,25.56,0.13327085,-0.089159965,-0.036147417,1.8,-1.635,0.91,-99.9,0.86,0.33
1,2004,100360.9141,391.5369873,403.2739258,251.296875,249.75,247.5546875,354.4411621,73.90209961,78.234375,60.87084961,61.546875,60.26879883,11.01196289,2.676757813,-1.284667969,302.3231812,-0.055457413,9.736758232,8.222403526,-1.018293381,-2.333314896,24.6,26.74,28.83,25.92,0.12822954,0.366583188,0.14390116,-2.8,-0.554,-0.88,0.48,0.41,0.43
2,2004,100390.2188,405.2970276,411.5733032,280.1875,280.1328125,278.21875,388.4453125,83.34375,85.9420929,64.3359375,65.1920929,64.21495056,35.02807617,47.80102539,43.83911133,305.1329956,-0.018721104,9.118360519,7.801251888,-0.23593998,-0.472278595,25.81,26.86,28.59,26.46,0.11054563,0.13145595,0.194981375,1.8,-0.219,1.08,-0.14,1.06,0.48
3,2004,100087.8594,420.4525146,419.7666931,304.4520874,308.0397949,306.0113831,422.7067261,117.0035858,85.75994873,66.17492676,68.39718628,66.34927368,70.66699219,52.64176941,66.82623291,302.3088989,-0.006197691,10.07388878,6.161821842,0.37665844,0.885731697,25.94,27.1,28.43,27.16,0.107237495,-0.297832005,0.26909405,-0.3,5.007,0.26,-1.12,0.3,0.61
4,2004,100140.2891,423.921875,425.8261108,317.796875,320.7578125,319.15625,440.0488281,124.1035156,78.484375,68.26757813,69.6875,69.90625,89.47583008,67.04199219,82.15527344,303.1603088,0.062893569,8.92270565,10.38930321,2.1201334,0.899122238,25.32,27.84,28.75,27.37,0.00931678,0.194716545,0.849596025,-2.1,0.078,0.35,1.28,0.51,0.57
5,2004,100165.8047,421.2635803,426.5123901,316.359375,317.5078125,317.1796875,440.8203125,156.203125,108.7844238,67.6640625,69.01098633,68.90625,71.31689453,81.3515625,74.86254883,300.2601318,0.048278987,8.86345005,8.054203033,1.376770973,1.18274498,23.05,28.06,29.16,26.72,-0.150646952,0.16783624,0.26915838,1.5,1.529,-0.03,2.3,-1.76,0.88
