month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
1,2000,100608.3125,387.2523499,368.4605408,250.1171875,250.0703125,253.4296875,354.4375,97.40625,76.0703125,59.8359375,59.796875,61.546875,-18.08740234,6.173828125,0.734130859,299.0159607,-0.165724337,5.877209663,8.055758476,-2.977489471,-2.467014313,23.86,24.65,26.96,23.88,-0.011070178,-0.104189716,0.132737328,1.1,0.929,0.24,-1.06,-0.82,-2
2,2000,100397.5703,389.380249,403.0132446,279.859375,278.5234375,280.171875,388.4456177,77.29325867,91.47387695,64.60575867,63.94262695,63.8671875,39.64575195,38.49316406,21.5871582,301.9401245,-0.074073493,7.210552216,5.909636974,-1.228476524,0.97961235,25.71,25.19,26.66,25.31,-0.155713459,-0.482513575,0.306113925,2.6,-4.992,0.08,-0.18,1.12,-0.83
3,2000,100291.625,418.8760986,426.309021,306.9713135,306.3773804,306.5345154,422.7102051,82.80474854,116.5244904,67.70422363,66.27734375,67.0065155,57.88104248,77.93847656,59.39251709,306.1950684,0.01414758,5.815022469,7.239971161,0.290232658,1.362246513,26.19,26.08,26.76,26.61,-0.2157018,-0.7901414,0.667852025,1.6,3.324,0.13,-0.28,1.28,0.29
4,2000,100195.9531,433.4971924,425.3898315,318.3828125,316.84375,318.7265625,440.0493164,93.61962891,134.9296875,69.49462891,67.84375,69.51000977,73.70825195,75.68432617,73.61254883,307.1859436,0.05022651,6.156116962,9.566011429,1.604886055,1.166155815,25.84,27.01,27.37,27.46,-0.00457092,-0.36993812,0.91359188,1.9,-0.614,-1.53,0.26,-0.35,0.35
5,2000,100064.0781,425.4175415,436.6124878,317.9453125,316.7578125,317.4609375,440.8203125,108.84375,150.7766113,68.46875,67.83911133,68.921875,77.42407227,73.19555664,88.12744141,302.9665527,0.053065479,5.602268219,8.246779442,1.774312973,1.838252068,24.1,27.12,27.81,26.8,-0.016859608,-0.199670425,0.0345194,0.3,-0.812,-2.03,-0.51,-0.28,-0.05
6,2000,99945.76563,422.1092529,424.5380249,312.40625,313.1875,312.3984375,437.3603516,185.4619141,185.7509766,67.54003906,66.82128906,67.29052734,58.57006836,55.71972656,44.08154297,300.2167969,0.058893502,5.439034462,7.1229496,1.705944061,1.947154045,22.25,27.03,28.11,25.84,-0.230537628,-0.083445078,0.43802465,-1,-1.944,0.2,-0.02,-1.22,-0.44
7,2000,99894.29688,418.1636658,416.3719177,313.78125,314.2890625,313.7265625,437.03125,184.4296875,165.28125,66.796875,66.96875,66.79907227,61.43676758,60.00488281,48.43383789,299.2119141,0.083122611,6.077375889,6.832015991,2.195628166,2.42827034,20.59,26.72,28.2,25.13,0.196883548,0.103704246,0.368208978,-0.7,1.526,0.37,-1.08,-2.28,-0.66
8,2000,100073.9297,413.3797607,417.395752,315.6796875,315.5,314.1484375,436.6118164,157.7133789,173.6838379,66.33056641,66.80883789,66.91674805,62.23095703,49.4597168,30.23144531,298.9242554,0.017331839,5.193492889,6.498111248,0.773212433,0.332090378,20.1,26.45,28.32,24.47,0.390124775,0.120319021,0.137996174,0.6,0.997,-1.07,-0.04,-0.48,-1.19
9,2000,100223.8281,415.1074829,409.5577698,304.4963989,302.766449,303.0840149,425.2171631,122.7583008,190.0411682,66.29788208,66.52397156,66.91593933,59.66123962,25.73382568,43.20643616,299.4514465,-0.006734848,8.596524239,9.240440369,-0.313300133,-0.455864906,19.94,26.21,28.44,24.35,0.182182596,0.066447958,0.174460088,1.7,-0.59,0.66,0.04,-1.4,-1.24
10,2000,100525.75,415.6434326,406.5810547,282.515625,282.90625,281.96875,396.859375,101.7265625,93.18887329,63.1015625,63.15762329,65.36328125,49.5793457,33.734375,38.63916016,300.2706299,-0.020622611,6.397136211,12.99808311,-0.48260498,-1.917924881,20.37,25.96,28.17,24.41,0.028256308,0.15906935,0.154108107,1.6,1.53,0.81,-0.9,0.25,-1.3
11,2000,100480.1953,411.2018738,414.2935181,254.9921875,255.8359375,255.921875,362.5646973,83.71313477,90.5390625,59.38500977,59.734375,60.0390625,14.13647461,19.29980469,16.82324219,300.2074585,-0.14030993,7.077569485,7.95575428,-2.203668594,-2.155996323,20.6,25.78,28.09,24.17,0.056728778,0.23539125,0.176971003,3.3,4.215,-0.3,0.32,0.74,-0.53
12,2000,100554.8359,405.9063721,397.6848755,242.4453125,244.921875,241.8828125,343.5004883,69.28173828,61.14233398,57.60986328,59.04077148,58.65087891,-15.55639648,-12.98291016,-10.20776367,302.0083618,-0.110576689,6.963273048,7.704446793,-2.197197914,-2.115954399,22.22,25.59,27.6,24.43,0.099373722,0.142464503,0.3074635,1.1,1.911,-0.49,-99.9,1.23,0.52
1,2001,100483.9688,396.0651245,389.4363403,249.5859375,250.2578125,252.1953125,354.4375,86.0546875,82.10229492,60.3515625,60.32885742,60.7421875,28.12915039,3.660888672,5.949951172,301.5130005,-0.089418411,6.939409256,6.932598114,-1.833060265,-0.905643463,23.88,25.74,27.5,24.99,-0.086676855,-0.28480485,0.089310965,1.8,1.31,0.76,-1.04,1.51,0.6
2,2001,100457.375,399.7460022,396.624939,280.203125,278.796875,279.65625,388.4453125,81.07421875,73.59890747,64.48046875,63.68484497,65.19256592,41.07788086,24.01489258,23.90966797,304.2324524,-0.003775895,6.313747406,9.289244652,-0.076135635,-0.178793907,25.91,26.11,27.27,26.06,0.042971125,-0.385682848,0.403746925,2.4,2.013,2.04,0.55,-0.16,0.29
3,2001,100104.2188,426.8843384,427.8154907,304.9115906,304.0889282,309.1417542,422.7069092,106.0623779,128.6414032,67.83268738,67.52368164,66.72262573,72.53686523,52.36654663,46.94192505,306.3405762,0.035211802,9.699030876,5.324195862,0.952356339,1.727201462,27.44,26.84,27.62,27.23,0.337853944,-0.117998012,0.53440538,0.8,0.853,-1.04,-1.01,0.7,0.45
4,2001,100298.7188,420.2397461,434.9664917,318.3828125,318.0390625,318.453125,440.0476074,110.8366699,90.3125,67.91479492,69.1796875,69.10180664,90.98681641,87.67504883,82.7355957,302.0462036,0.048772573,9.178983688,9.072594643,1.732035637,1.628141403,26.69,27.52,28.19,27.52,-0.003869818,-0.140569278,0.423285925,-0.1,2.209,0.99,0.24,-0.47,-0.31
5,2001,100246.6563,416.5165405,422.1951904,316.6953125,319.0625,316.8515625,440.8203125,132.53125,103.8674316,68.6171875,68.82836914,68.53125,78.14916992,77.61328125,84.70263672,300.3885498,0.026326776,6.98803997,7.270331383,1.010481834,1.200604439,23.77,27.6,28.64,26.89,0.267224825,0.35691084,0.0848307,-1.4,-0.607,-1.7,-1.4,-0.11,-0.3
6,2001,100076.5547,420.1323547,424.3685303,313.4140625,314.53125,314.8046875,437.359375,164.2578125,142.7304688,67.140625,67.12109375,67.13378906,56.72924805,72.38598633,82.54589844,299.9602051,0.048334479,5.105020046,5.161082268,1.583800316,1.255767822,21.74,27.68,28.83,26.35,0.151297472,0.227442612,0.14062545,-0.1,1.43,0.08,0.54,-0.94,-0.47
7,2001,100124.9531,417.9310303,418.125,312.9609375,314.2109375,314.8203125,437.0270996,208.0270996,205.1171875,66.86303711,66.5,66.265625,37.84619141,31.28173828,57.59082031,298.8090515,0.102036357,5.867399216,4.626513958,2.333245277,2.039581299,20.88,27.32,29.06,25.43,-0.045476983,0.4696555,-0.03241859,-0.7,0.528,-0.96,-1.12,0.06,-1.31
8,2001,100089.5156,417.7907715,415.8210144,313.53125,317.25,314.8515625,436.6182861,166.7979584,125.578125,67.14952087,67.421875,66.25090027,44.6730957,90.27050781,39.92919922,299.2484131,-0.002479076,5.617004395,4.548102856,0.230162621,1.152896881,19.9,26.87,28.96,24.72,0.05997716,0.618425875,-0.202585335,-1.6,-0.027,-0.53,-2.01,-0.11,-0.77
9,2001,100174.3438,411.9414063,417.9546509,303.5418091,302.0126343,300.7687073,425.2136841,146.1707153,149.851944,66.65065002,67.75819397,67.88053894,57.57226563,52.78820801,41.33827209,298.7472534,-0.012222946,12.0679388,12.93772221,-0.236335754,-0.0558424,19.39,26.55,29.14,24.27,0.072825946,0.56757312,0.062433574,0.3,-0.811,2.26,-1.05,0.1,-1.37
10,2001,100400.5938,415.1271362,410.3754272,280.890625,281.7109375,279.796875,396.859375,116.7695313,88.71484375,63.40234375,64.23046875,65.69642639,35.23754883,38.37988281,11.72216797,299.5493774,-0.060011685,10.48439503,14.82945728,-1.348999023,-1.284519196,19.52,26.59,29.01,24.45,-0.016903788,0.5003002,0.150206605,-0.6,0.734,-0.89,-0.13,-0.22,-1.37
11,2001,100454.8125,413.7804565,414.4259644,255.8515625,253.7109375,258.1875,362.5703125,72.2109375,113.4609375,59.8984375,60.484375,59.5546875,15.89819336,-2.291503906,10.6328125,301.8970947,-0.085105419,10.06772423,5.676765442,-1.692189217,-1.586954117,20.49,26.45,28.96,24.35,0.21889016,0.121969801,0.121809735,1.2,-2.977,0.82,-0.22,1.09,-1.26
12,2001,100571.1094,406.600769,406.5705872,240.5859375,242.4453125,240.71875,343.5,74.2265625,73.40625,57.953125,58.21875,58.125,-13.45507813,-3.928955078,-10.89892578,301.5858765,-0.181097031,6.304892063,7.295337677,-3.016584396,-2.031523705,21.96,26.17,28.6,24.6,0.336521594,0.154458046,0.193940522,-1.9,-0.805,-0.18,-99.9,0.56,-0.93
1,2002,100234.6094,389.4578247,413.6832886,250,251.0390625,249.625,354.4375,74.4609375,70.69750977,60.6015625,60.63500977,59.5546875,7.547363281,3.576904297,0.488769531,300.9710083,-0.159486473,7.09257555,5.638839245,-2.596446037,-0.108959198,23.64,26.5,28.81,25.09,0.29285525,0.420445825,0.214146068,0.7,2.848,0.38,-0.27,-0.04,0.27
2,2002,100471.5,398.6849976,404.8599548,279.5,277.8046875,279.7265625,388.4453125,90.3203125,86.75137329,64.265625,63.81387329,64.21484375,42.46899414,29.09399414,29.25195313,303.3735352,-0.064120293,7.139837742,7.138655663,-0.895580292,0.067737579,26.06,26.95,28.76,26.21,-0.11508503,-0.15144779,-0.229635038,1.5,2.942,1.34,-0.49,0.14,-0.64
3,2002,100216.5156,411.6743469,432.8956909,307.3660889,306.5417175,304.1993713,422.710907,89.73721313,85.14065552,67.85621643,68.61148071,67.47393799,51.05255127,49.2537384,69.48579407,304.3444214,0.027286649,10.86096478,9.733194351,0.921339035,0.902440071,27.53,27.32,28.68,27.22,0.190751782,0.407574076,0.004680582,-1.4,1.664,0.92,2,-1.3,-0.43
