month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
1,2000,100770.3125,385.7358398,364.5491333,250.484375,250.5078125,253.4765625,354.4406738,91.24536133,65.9296875,59.93286133,59.875,61.71875,-15.87670898,-5.450927734,6.125976563,299.0129089,-0.168448091,5.709494114,8.412525177,-2.784040451,-3.015208244,23.86,24.65,26.96,23.88,-0.011070178,-0.104189716,0.132737328,1.1,0.929,0.24,-1.06,-0.82,-2
2,2000,100310.1406,373.4876709,403.4715576,282.0078125,279.4609375,280.71875,388.4382324,71.87571716,78.26171875,65.09446716,64.52734375,64.01715088,26.52441406,34.66040039,30.92431641,300.598114,-0.110388815,7.97467804,6.074597359,-1.828482628,0.339490891,25.71,25.19,26.66,25.31,-0.155713459,-0.482513575,0.306113925,2.6,-4.992,0.08,-0.18,1.12,-0.83
3,2000,100270.4531,406.8999939,409.8582153,308.842041,307.2112122,307.417511,422.708313,77.25517273,81.2212677,67.16479492,67.60017395,66.64399719,58.66162109,61.32446289,42.75582886,304.4472046,0.063138664,8.268265724,5.97248745,0.882206917,0.400788307,26.19,26.08,26.76,26.61,-0.2157018,-0.7901414,0.667852025,1.6,3.324,0.13,-0.28,1.28,0.29
4,2000,100198,423.5667725,426.0310974,319.015625,317.8203125,319.6875,440.046875,114.515625,126.65625,69.140625,69.1796875,68.73681641,75.68994141,73.60083008,73.72900391,305.2929382,0.039381146,9.524806023,7.183245182,0.959054947,1.29180336,25.84,27.01,27.37,27.46,-0.00457092,-0.36993812,0.91359188,1.9,-0.614,-1.53,0.26,-0.35,0.35
5,2000,100178.6563,423.9215698,422.543335,316.6484375,317.546875,316.84375,440.8203125,114.7890625,98.015625,68.9921875,68.859375,68.734375,82.68774414,83.03442383,63.39331055,302.5355225,0.038123667,7.873037338,7.943648338,1.409370422,0.847104073,24.1,27.12,27.81,26.8,-0.016859608,-0.199670425,0.0345194,0.3,-0.812,-2.03,-0.51,-0.28,-0.05
6,2000,100160.4375,422.8349915,426.641449,313.171875,312.6953125,314.296875,437.3615723,175.2209473,181.9714355,67.43969727,67.35424805,67.1640625,63.4987793,53.60620117,74.44189453,300.5907593,0.059657335,7.218326092,5.647916317,1.84208107,1.414279938,22.25,27.03,28.11,25.84,-0.230537628,-0.083445078,0.43802465,-1,-1.944,0.2,-0.02,-1.22,-0.44
7,2000,99878.91406,417.5018921,415.7006531,313.7109375,314.2109375,313.59375,437.03125,162.8515625,189.9472656,67.453125,66.46289063,66.54858398,55.32788086,48.13354492,38.03320313,299.8838501,0.066099644,5.735297203,6.483383656,1.566216469,2.796956062,20.59,26.72,28.2,25.13,0.196883548,0.103704246,0.368208978,-0.7,1.526,0.37,-1.08,-2.28,-0.66
8,2000,100174.9688,416.6243286,412.8435364,315.1640625,315.1015625,314.90625,436.6256714,159.1608276,171.4375,66.54754639,66.8984375,66.55859375,52.27124023,57.3581543,44.55273438,299.5402222,0.015915871,5.942887306,5.470085144,0.630631447,0.552660942,20.1,26.45,28.32,24.47,0.390124775,0.120319021,0.137996174,0.6,0.997,-1.07,-0.04,-0.48,-1.19
9,2000,100311.4688,418.0050964,409.814209,302.7886353,303.9171753,305.9776306,425.2209473,166.0967255,142.526947,66.42588806,66.57693481,66.36408997,31.89324951,45.056427,60.3717804,299.3083496,0.006775618,7.401247978,5.829814911,0.239844322,-0.238729477,19.94,26.21,28.44,24.35,0.182182596,0.066447958,0.174460088,1.7,-0.59,0.66,0.04,-1.4,-1.24
10,2000,100269.5469,412.2474976,411.600647,282.8359375,281.6796875,281.5,396.859436,93.22663879,97.07421875,63.05476379,65.70703125,63.375,47.85498047,37.72460938,39.66894531,299.7550659,-0.005057037,13.64944935,7.550703526,-0.345760345,-0.788318634,20.37,25.96,28.17,24.41,0.028256308,0.15906935,0.154108107,1.6,1.53,0.81,-0.9,0.25,-1.3
