year,month,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
1971,Jan,23.32,25.01,26.81,24.35,-,-,-,0.4,5.065,-1.65,-0.11,-1.39,-1.9
1971,Feb,24.66,25.27,26.94,24.95,-,-,-,3.1,7.349,-1.15,-1.49,0.1,-1.74
1971,Mar,24.91,26.11,27.15,26.17,-,-,-,3.4,3.831,-0.05,-0.11,0.02,-1.68
1971,Apr,25.1,26.64,27.58,26.69,-,-,-,2.8,2.526,-0.24,-1.55,0.48,-1.59
1971,May,22.96,27.16,27.98,26.37,-,-,-,1.2,2.057,0.36,-1.09,1.14,-1.55
1971,Jun,21.86,26.93,28.12,25.71,-,-,-,0.2,0.491,1.03,-0.05,0.38,-1.55
1971,Jul,21.26,26.64,27.91,25.11,-,-,-,0.1,1.12,0.09,1.83,-1.41,-2.2
1971,Aug,19.86,26.24,27.86,24.14,-,-,-,2.2,-0.427,-1.08,1.23,-0.78,-0.15
1971,Sep,19.79,25.88,27.64,23.94,-,-,-,2.7,0.79,-0.26,-0.97,0.23,0.21
1971,Oct,20.07,25.92,27.81,23.91,-,-,-,2.8,3.652,0.54,-0.64,-1.37,-0.22
1971,Nov,21.13,25.58,27.62,23.9,-,-,-,0.9,3.086,0.29,-0.23,-0.26,-1.25
1971,Dec,21.96,25.61,27.74,23.94,-,-,-,0.1,2.492,0.58,-99.9,-1.46,-1.87
1972,Jan,24.62,25.84,27.63,25.12,-,-,-,0.6,4.455,0.37,-0.61,-1.41,-1.99
1972,Feb,26.81,26.49,28.14,26.19,-,-,-,1.4,1.071,-1.75,0.45,-1.48,-1.83
1972,Mar,27.31,27.08,28.17,26.98,-,-,-,0.1,1.899,-1.95,-1.2,0.2,-2.09
1972,Apr,26.35,28.08,28.93,27.91,-,-,-,-0.6,-0.093,-0.17,-1.16,-1.76,-1.65
1972,May,25.51,28.36,29.39,27.66,-,-,-,-3.4,-1.278,0.86,0.52,0.14,-1.57
1972,Jun,24.86,28.34,29.22,27.41,-,-,-,-1.8,-1.259,1.36,-1.94,-0.24,-1.87
1972,Jul,24.07,28.17,29.28,27.03,-,-,-,-3.1,-1.687,-0.96,1.84,-0.76,-0.83
1972,Aug,23.27,28.14,28.94,26.87,-,-,-,-1.6,-1.633,0.73,1.21,-0.01,0.25
1972,Sep,22.12,27.86,28.96,26.35,-,-,-,-2.6,-0.636,-1.29,0.56,0.21,0.17
1972,Oct,22.56,28.38,29.33,26.8,-,-,-,-2,-2.359,0.19,1.61,-1.5,0.11
1972,Nov,23.4,28.62,29.42,27.12,-,-,-,-0.7,-1.25,0.16,-0.21,0.56,0.57
1972,Dec,24.69,28.61,29.19,27.5,-,-,-,-2.6,-0.2,0.83,-99.9,-0.56,-0.33
1973,Jan,26.33,28.25,29.12,27.37,-,-,-,-0.8,-2.303,0.8,-0.94,-0.18,-0.46
1973,Feb,26.5,27.98,28.79,27.39,-,-,-,-3.2,-8.273,1.59,1.18,0.12,-0.61
1973,Mar,26.15,27.82,28.53,27.37,-,-,-,0.3,2.683,0.73,-1.75,0.85,-0.5
1973,Apr,24.52,27.53,28.37,26.89,-,-,-,-0.3,3.538,1.24,0.72,0.36,-0.69
1973,May,23.47,27.26,28.7,26.12,-,-,-,0.4,0.334,0.3,-1.47,0.66,-0.76
1973,Jun,21.51,26.7,28.2,25.34,-,-,-,1.3,1.967,-1.28,-0.77,0.84,-0.97
1973,Jul,20.75,26.04,28.12,24.39,-,-,-,0.9,0.96,-0.25,-1.09,0.17,-0.57
1973,Aug,19.47,25.66,27.84,23.65,-,-,-,1.7,2.282,-0.22,-0.84,-0.92,-1.14
1973,Sep,19.24,25.44,27.55,23.6,-,-,-,2.3,0.876,0.24,0.27,-0.28,-0.51
