year,month,nina12,nina34,wtio
1971,Jan,23.32,25.01,-
1971,Feb,24.66,25.27,-
1971,Mar,24.91,26.11,-
1971,Apr,25.1,26.64,-
1971,May,22.96,27.16,-
1971,Jun,21.86,26.93,-
1971,Jul,21.26,26.64,-
1971,Aug,19.86,26.24,-
1971,Sep,19.79,25.88,-
1971,Oct,20.07,25.92,-
1971,Nov,21.13,25.58,-
1971,Dec,21.96,25.61,-
1972,Jan,24.62,25.84,-
1972,Feb,26.81,26.49,-
1972,Mar,27.31,27.08,-
1972,Apr,26.35,28.08,-
1972,May,25.51,28.36,-
1972,Jun,24.86,28.34,-
1972,Jul,24.07,28.17,-
1972,Aug,23.27,28.14,-
1972,Sep,22.12,27.86,-
1972,Oct,22.56,28.38,-
1972,Nov,23.4,28.62,-
1972,Dec,24.69,28.61,-
1973,Jan,26.33,28.25,-
1973,Feb,26.5,27.98,-
1973,Mar,26.15,27.82,-
1973,Apr,24.52,27.53,-
1973,May,23.47,27.26,-
1973,Jun,21.51,26.7,-
1973,Jul,20.75,26.04,-
1973,Aug,19.47,25.66,-
1973,Sep,19.24,25.44,-
1973,Oct,19.68,25.25,-
1973,Nov,20.71,24.76,-
1973,Dec,21.61,24.58,-
1974,Jan,23.32,24.58,-
1974,Feb,24.92,25.21,-
1974,Mar,26.04,26.05,-
1974,Apr,25.29,26.9,-
1974,May,24.42,26.82,-
1974,Jun,22.68,27.18,-
1974,Jul,21.6,26.71,-
1974,Aug,20.47,26.3,-
1974,Sep,19.91,26.19,-
1974,Oct,20.02,25.87,-
1974,Nov,20.95,25.59,-
1974,Dec,21.41,25.78,-
1975,Jan,23.67,26.08,-
1975,Feb,24.9,26.33,-
1975,Mar,26.17,26.59,-
1975,Apr,25.44,27.15,-
1975,May,23.36,26.87,-
1975,Jun,21.71,26.41,-
1975,Jul,20.98,26.13,-
1975,Aug,20.05,25.55,-
1975,Sep,18.8,25.31,-
1975,Oct,19.13,25.07,-
1975,Nov,19.61,25.23,-
1975,Dec,20.94,24.82,-
1976,Jan,23.73,24.66,-
1976,Feb,25.63,25.61,-
1976,Mar,26.21,26.49,-
1976,Apr,25.78,26.99,-
1976,May,25.33,27.22,-
1976,Jun,24.4,27.39,-
1976,Jul,23.46,27.21,-
1976,Aug,22.19,27.07,-
1976,Sep,21.67,27.2,-
1976,Oct,21.52,27.58,-
