Date Time,HP
10/11/11 6:26,3.33
10/11/11 18:00,3.48
10/12/11 7:11,3.44
10/12/11 18:20,3.48
10/13/11 7:48,3.51
10/13/11 18:42,3.48
10/14/11 8:19,3.56
10/14/11 19:04,3.47
10/15/11 8:46,3.58
10/15/11 19:25,3.46
10/16/11 9:17,3.58
10/16/11 19:35,3.44
10/17/11 9:59,3.55
10/17/11 19:43,3.43
10/18/11 11:35,3.50
10/18/11 19:59,3.42
10/19/11 13:02,3.47
10/19/11 20:19,3.40
10/20/11 14:08,3.45
10/21/11 15:04,3.45
10/22/11 15:48,3.44
10/23/11 16:19,3.45
10/24/11 2:59,2.95
10/24/11 16:36,3.48
10/25/11 5:13,3.20
10/25/11 16:40,3.52
10/26/11 6:13,3.45
10/26/11 16:51,3.58
10/27/11 7:07,3.64
10/27/11 17:18,3.63
10/28/11 8:03,3.75
10/28/11 17:52,3.66
10/29/11 9:09,3.78
10/29/11 18:30,3.66
10/30/11 10:21,3.77
10/30/11 19:10,3.63
10/31/11 11:31,3.74
10/31/11 19:53,3.58
10/1/11 12:30,3.61
10/1/11 20:34,3.41
10/2/11 13:22,3.55
10/2/11 21:15,3.29
10/3/11 14:05,3.49
10/4/11 14:39,3.43
10/5/11 15:03,3.40
10/6/11 2:23,2.80
10/6/11 15:21,3.38
10/7/11 4:40,2.93
10/7/11 15:43,3.38
10/8/11 5:55,3.13
10/8/11 16:07,3.38
10/9/11 6:49,3.31
10/9/11 16:30,3.38
10/10/11 7:35,3.44
10/10/11 16:56,3.39
10/11/11 8:16,3.52
10/11/11 17:25,3.40
10/12/11 8:59,3.55
10/12/11 17:56,3.39
10/13/11 9:45,3.56
10/13/11 18:27,3.37
10/14/11 10:35,3.55
10/14/11 18:54,3.35
10/15/11 11:21,3.54
10/15/11 19:17,3.33
