t,Day,Date1,Date2,HP,HR
0.3,11,10/11/2011,10/11/11 6:26,3.33,1.95
0.8,11,10/11/2011,10/11/11 18:00,3.48,2.05
1.3,12,10/12/2011,10/12/11 7:11,3.44,2.02
1.8,12,10/12/2011,10/12/11 18:20,3.48,2
2.3,13,10/13/2011,10/13/11 7:48,3.51,2.08
2.8,13,10/13/2011,10/13/11 18:42,3.48,1.94
3.3,14,10/14/2011,10/14/11 8:19,3.56,2.18
3.8,14,10/14/2011,10/14/11 19:04,3.47,2.12
4.4,15,10/15/2011,10/15/11 8:46,3.58,2.17
4.8,15,10/15/2011,10/15/11 19:25,3.46,1.99
5.4,16,10/16/2011,10/16/11 9:17,3.58,2.13
5.8,16,10/16/2011,10/16/11 19:35,3.44,1.97
6.4,17,10/17/2011,10/17/11 9:59,3.55,2.12
6.8,17,10/17/2011,10/17/11 19:43,3.43,1.94
7.5,18,10/18/2011,10/18/11 11:35,3.50,2.19
7.8,18,10/18/2011,10/18/11 19:59,3.42,2.05
8.5,19,10/19/2011,10/19/11 13:02,3.47,2.18
8.8,19,10/19/2011,10/19/11 20:19,3.40,2.1
9.6,20,10/20/2011,10/20/11 14:08,3.45,2.15
10.6,21,10/21/2011,10/21/11 15:04,3.45,2.19
11.7,22,10/22/2011,10/22/11 15:48,3.44,2.26
12.7,23,10/23/2011,10/23/11 16:19,3.45,2.27
13.1,24,10/24/2011,10/24/11 2:59,2.95,2.01
13.7,24,10/24/2011,10/24/11 16:36,3.48,2.33
