Day,HT,RealH
1,3.63,1.95
2,3.6,2.01
3,3.56,1.85
4,3.48,1.82
5,3.46,1.75
6,3.47,1.87
7,3.48,2.09
8,3.49,1.93
9,3.06,2.02
10,3.49,1.95
11,3.48,2.05
12,3.48,2.02
13,3.51,2.08
14,3.56,2.18
15,3.58,2.17
16,3.58,2.13
17,3.55,2.12
18,3.5,2.19
19,3.47,2.18
20,3.45,2.15
21,3.45,2.19
22,3.44,2.26
23,3.45,2.27
24,3.48,2.33
25,3.52,2.42
26,3.58,2.42
27,3.64,2.46
28,3.75,2.47
29,3.78,2.5
30,3.77,2.52
31,3.74,2.5
32,3.61,2.43
33,3.55,2.3
34,3.49,2.31
35,3.43,2.21
36,3.4,2.16
37,3.38,2.04
38,3.38,2.07
39,3.38,1.98
40,3.38,2.03
41,3.44,2.11
42,3.52,
43,3.55,
44,3.56,
45,3.55,
46,3.54,
47,3.52,
48,3.49,
49,3.45,
50,3.4,
51,3.37,
52,3.4,
53,3.46,
54,3.51,
55,3.55,
56,3.6,
57,3.69,
58,3.73,
59,3.73,
60,3.7,
61,3.63,
