Day,HT,RealH
21,3.45,2.19
22,3.44,2.26
23,3.45,2.27
24,3.48,2.33
25,3.52,2.42
26,3.58,2.42
27,3.64,2.46
28,3.75,2.47
29,3.78,2.5
30,3.77,2.52
31,3.74,2.5
32,3.61,2.43
33,3.55,2.3
34,3.49,2.31
35,3.43,2.21
36,3.4,2.16
37,3.38,2.04
38,3.38,2.07
39,3.38,1.98
40,3.38,2.03
41,3.44,2.11
42,3.52,2.3
43,3.55,2.4
44,3.56,2.26
45,3.55,2.32
46,3.54,2.22
47,3.52,2.22
48,3.49,2.15
49,3.45,2.1
50,3.4,2.12
51,3.37,2.03
52,3.4,2.15
53,3.46,1.95
54,3.51,2.01
55,3.55,
56,3.6,
57,3.69,
58,3.73,
59,3.73,
60,3.7,
61,3.63,
