year,monthi,temp,nina12,nina34,nina4,nina3
1971,1,23.32,23.32,25.01,26.81,24.35
1971,2,24.66,24.66,25.27,26.94,24.95
1971,3,24.91,24.91,26.11,27.15,26.17
1971,4,25.1,25.1,26.64,27.58,26.69
1971,5,22.96,22.96,27.16,27.98,26.37
1971,6,21.86,21.86,26.93,28.12,25.71
1971,7,21.26,21.26,26.64,27.91,25.11
1971,8,19.86,19.86,26.24,27.86,24.14
1971,9,19.79,19.79,25.88,27.64,23.94
1971,10,20.07,20.07,25.92,27.81,23.91
1971,11,21.13,21.13,25.58,27.62,23.9
1971,12,21.96,21.96,25.61,27.74,23.94
1972,1,24.62,24.62,25.84,27.63,25.12
1972,2,26.81,26.81,26.49,28.14,26.19
1972,3,27.31,27.31,27.08,28.17,26.98
1972,4,26.35,26.35,28.08,28.93,27.91
1972,5,25.51,25.51,28.36,29.39,27.66
1972,6,24.86,24.86,28.34,29.22,27.41
1972,7,24.07,24.07,28.17,29.28,27.03
1972,8,23.27,23.27,28.14,28.94,26.87
1972,9,22.12,22.12,27.86,28.96,26.35
1972,10,22.56,22.56,28.38,29.33,26.8
1972,11,23.4,23.4,28.62,29.42,27.12
1972,12,24.69,24.69,28.61,29.19,27.5
1973,1,26.33,26.33,28.25,29.12,27.37
1973,2,26.5,26.5,27.98,28.79,27.39
1973,3,26.15,26.15,27.82,28.53,27.37
1973,4,24.52,24.52,27.53,28.37,26.89
1973,5,23.47,23.47,27.26,28.7,26.12
1973,6,21.51,21.51,26.7,28.2,25.34
1973,7,20.75,20.75,26.04,28.12,24.39
1973,8,19.47,19.47,25.66,27.84,23.65
1973,9,19.24,19.24,25.44,27.55,23.6
1973,10,19.68,19.68,25.25,27.25,23.57
1973,11,20.71,20.71,24.76,27.06,23.47
1973,12,21.61,21.61,24.58,26.66,23.55
1974,1,23.32,23.32,24.58,26.61,23.97
1974,2,24.92,24.92,25.21,26.74,25.16
1974,3,26.04,26.04,26.05,27.12,26.39
1974,4,25.29,25.29,26.9,27.52,26.83
1974,5,24.42,24.42,26.82,27.79,26.49
1974,6,22.68,22.68,27.18,27.97,26.15
1974,7,21.6,21.6,26.71,27.8,25.51
1974,8,20.47,20.47,26.3,27.98,24.77
1974,9,19.91,19.91,26.19,27.72,24.35
1974,10,20.02,20.02,25.87,27.59,24.15
1974,11,20.95,20.95,25.59,27.5,24.06
1974,12,21.41,21.41,25.78,27.63,24.24
1975,1,23.67,23.67,26.08,27.46,25.18
1975,2,24.9,24.9,26.33,27.83,25.73
1975,3,26.17,26.17,26.59,27.54,26.57
1975,4,25.44,25.44,27.15,27.75,27.11
1975,5,23.36,23.36,26.87,27.77,26
1975,6,21.71,21.71,26.41,27.53,25.24
1975,7,20.98,20.98,26.13,27.52,24.77
